"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000163661",8575.97583492889,2.25849111224283,0.132002572778835,17.1094476774088,1.26190386735048e-65,8.35525964478401e-63,"PTX3","5806"
"ENSG00000124766",1283.71638023889,-2.41384802893439,0.141183228195856,-17.0972718203169,1.55515740088444e-65,9.84430830072474e-63,"SOX4","6659"
"ENSG00000162616",1469.46311957604,1.51733741064972,0.0887561636943801,17.0955722677972,1.601165451178e-65,9.84430830072474e-63,"DNAJB4","11080"
"ENSG00000197381",1971.13889208955,2.31928678538868,0.136316922821807,17.0139314868518,6.47435934444586e-65,3.84331365912536e-62,"ADARB1","104"
"ENSG00000148175",11206.8267749171,1.44609891028531,0.0859252008834088,16.8297413962117,1.47745969742694e-63,8.4781562304016e-61,"STOM","2040"
"ENSG00000172403",8023.76652998459,1.74259509513544,0.104437238624588,16.6855722928428,1.66898971309329e-62,9.26827674545193e-60,"SYNPO2","171024"
"ENSG00000116285",3236.34300062971,2.42275268125125,0.14535650224255,16.6676594708403,2.25243143846021e-62,1.21173772540914e-59,"ERRFI1","54206"
"ENSG00000163083",419.121857672367,3.44859195470447,0.207432324852492,16.6251424755366,4.58275909995183e-62,2.3906726638082e-59,"INHBB","3625"
"ENSG00000166741",7440.63028501606,2.18561649825044,0.135793654878854,16.0951297776049,2.75992190969116e-58,1.39741340221569e-55,"NNMT","4837"
"ENSG00000105989",333.987668095359,-3.04435885118463,0.189267367965429,-16.0849642699142,3.25239901335881e-58,1.59971568614205e-55,"WNT2","7472"
"ENSG00000070404",2130.51475320618,1.81371438080389,0.114410188006785,15.8527349041357,1.34593577787909e-56,6.43619011560793e-54,"FSTL3","10272"
"ENSG00000122035",944.612597214521,2.28712209174001,0.144932459599134,15.7806063463348,4.23103947955021e-56,1.96857688217451e-53,"RASL11A","387496"
"ENSG00000119139",5036.55409297062,1.92616287690538,0.123427711852123,15.6055949511006,6.66851703735291e-55,3.02101370521133e-52,"TJP2","9414"
"ENSG00000136478",3706.2508938484,1.46401756187526,0.0943157061624806,15.5225213428732,2.44261511422984e-54,1.07819536388376e-51,"TEX2","55852"
"ENSG00000157150",167.74839766201,2.94298814367195,0.193704646058113,15.1931727171326,3.92455321171339e-52,1.68902958849115e-49,"TIMP4","7079"
"ENSG00000060718",364.332342543189,2.42545023334456,0.159840451232436,15.1741953594559,5.24165848807668e-52,2.20085733834732e-49,"COL11A1","1301"
"ENSG00000221866",847.834598324389,2.7513818002335,0.181579853837482,15.1524618072226,7.29808540065667e-52,2.99134619457868e-49,"PLXNA4","91584"
"ENSG00000172986",757.76449930515,-1.57469508210802,0.104147627314371,-15.1198363583914,1.19840038140164e-51,4.7977819920533e-49,"GXYLT2","727936"
"ENSG00000196569",17198.8855177679,2.02886355310553,0.134234750322254,15.1142945342759,1.30359681334401e-51,5.10032253220845e-49,"LAMA2","3908"
"ENSG00000099337",530.586509777748,2.71669113073394,0.180215509170741,15.0746799941623,2.37664608618852e-51,9.09199163860786e-49,"KCNK6","9424"
"ENSG00000126803",449.535032214666,2.457203582258,0.163166616133843,15.0594750352756,2.99153020542591e-51,1.11954766274798e-48,"HSPA2","3306"
"ENSG00000100242",2238.9482290062,1.85726052548634,0.12394147006464,14.9849806083284,9.20524319498082e-51,3.37166514045947e-48,"SUN2","25777"
"ENSG00000108821",101162.882082997,-1.30672364958348,0.0873127799797623,-14.9660066932511,1.22456763250324e-50,4.39186079032152e-48,"COL1A1","1277"
"ENSG00000145685",2021.48261555009,-1.24172068423401,0.0830431183779158,-14.9527222542769,1.49510264482774e-50,5.2526922511652e-48,"LHFPL2","10184"
"ENSG00000134686",2741.30019167421,1.38578574366009,0.0929446465511517,14.9097962613418,2.84619687039825e-50,9.79945582478118e-48,"PHC2","1912"
"ENSG00000138316",801.008797316148,-2.50894301823074,0.168832566754235,-14.8605394472438,5.94445898924207e-50,2.00654630391769e-47,"ADAMTS14","140766"
"ENSG00000124440",197.290131703975,2.52850431067294,0.171124627579692,14.7758060685651,2.09831692656502e-49,6.93964228358609e-47,"HIF3A","64344"
"ENSG00000168309",159.804791299125,4.8306722664067,0.326958113350099,14.774590594833,2.13651490578021e-49,6.93964228358609e-47,"FAM107A","11170"
"ENSG00000102804",5404.2359458074,1.19961995809231,0.0814115032533965,14.7352635702899,3.82701352641981e-49,1.22003773809847e-46,"TSC22D1","8848"
"ENSG00000131389",741.847973180394,-2.12665715417185,0.144952074852519,-14.6714502454388,9.82230320470904e-49,3.07438090307393e-46,"SLC6A6","6533"
"ENSG00000133142",3059.95306005295,1.53731256262774,0.105095349624381,14.6277886521355,1.86759127907962e-48,5.74117569095637e-46,"TCEAL4","79921"
"ENSG00000103742",371.401137110645,-2.19868899217286,0.150563225081509,-14.6030944208493,2.68381890796551e-48,8.1056039474783e-46,"IGDCC4","57722"
"ENSG00000103196",3085.76936152259,2.62951738858301,0.181005247236337,14.527299228788,8.13656875536046e-48,2.4150177779919e-45,"CRISPLD2","83716"
"ENSG00000141401",628.289892353596,2.32512249798774,0.160116465618668,14.5214453054768,8.8621768766283e-48,2.58580296493485e-45,"IMPA2","3613"
"ENSG00000152268",1599.36052024987,1.91127712628171,0.131900435674478,14.4903018440259,1.39528329195941e-47,4.00330031184688e-45,NA,NA
"ENSG00000163171",1359.54663642625,1.5038662333696,0.103882134977232,14.4766588951912,1.70170049990781e-47,4.80242198457588e-45,"CDC42EP3","10602"
"ENSG00000112837",2759.80596048672,-1.83538211453361,0.128452501858526,-14.2884107975963,2.58439908313953e-46,7.17587584133015e-44,"TBX18","9096"
